haplotype,African American/Afro-Caribbean,American,Central/South Asian,East Asian,European,Latino,Near Eastern,Oceanian,Sub-Saharan African
*1,0.2006,0.5111,0.2871,0.2453,0.2828,0.3646,0.2488,0.7291,0.0779
*1x2,0.0081,0.0286,0.0056,0.0034,0.0083,0.0151,0.0315,0.1189,0.0112
*1x≥3,,,,,0.003,0.0005,,,
*2,0.1557,0.2208,0.2948,0.1205,0.1856,0.2268,0.19,0.0392,0.1983
*2x2,0.0188,0.0061,0.0095,0.0045,0.0084,0.0118,0.0331,0,0.0173
*2x≥3,,,,,,0.0005,,,
*3,0.0032,0.0002,0.0011,5.84E-05,0.0159,0.0072,0.0043,0.001,0.0015
*3x2,0,,,,0.0001,0.0005,,,
*4,0.0482,0.1024,0.0906,0.0054,0.1854,0.1205,0.1141,0.018,0.0338
*4x2,0.0265,0.0011,0.0009,0,0.0066,0.004,0.0032,0,0.0153
*4x≥3,,,,,,,,,
*5,0.0539,0.0159,0.0459,0.0486,0.0295,0.0292,0.0182,0.0406,0.0515
*6,0.0029,0.0025,0,0.0002,0.0111,0.0051,0.0054,0,0
*6x2,6.78E-05,0,,0,0,0.0001,0,,
*7,0.0003,0.005,0.0055,7.89E-05,0.0005,0,0.0029,0,0
*8,0,0.001,0,0,0.0002,0,0,0,0
*9,0.0044,0.0044,0.003,0.0019,0.0276,0.0155,0.0038,0,0
*9x2,0,,,,0.0001,0,,,
*10,0.0382,0.0144,0.0867,0.4356,0.0157,0.0263,0.0677,0.0252,0.0557
*10x2,0.0012,0,0,0.0061,0.0001,0.0017,0.0023,0,0
*11,0,0,,0,0.0002,0,0,0,
*12,0.0008,0.017,,0,0.0002,,0,,0.0026
*13,0,,0,0.0018,0,,,,
*14,0,0,,0.003,0,0,,0,
*15,0,0.0024,,0.0001,0.0005,0,0,0,0.0057
*17,0.1688,0.0048,0.0007,9.79E-05,0.0039,0.0233,0.031,0.001,0.1929
*17x2,0.002,0,,0,0,0.0088,0,,
*18,0,,,0.0013,0,,0,,
*19,0,,,0,0.0003,,0,0.0022,0
*20,0,,,0,0,,0,0,
*21,,,,0.0035,0,,0,,
*22,,,,0,,,0,,
*23,,,,0,,,0,,
*24,0,,,0,,,0,,
*25,0,,,0,0,,0,0,
*26,0,,,0,0,,0,0,
*27,,,,0.0007,,,0.007,,0.0051
*28,,0.0009,,0.0003,0,,0,,0
*29,0.088,0.0019,0.0027,0.0001,0.0011,0.0152,0.0078,0,0.1211
*29x2,0.0011,,,0,0,0.0002,,,
*30,0,,,0,0,,0,0,0
*31,0,,0,0,0.0012,0.0075,0,0,
*32,,,,0,,,0,,0.0026
*33,,0.0017,,0.0003,0.019,,0,,
*34,,,,0.0102,0.0191,0.0005,,0.0018,
*35,0.0088,0.0097,0.0121,0.0006,0.0548,0.0266,0.0222,0,0
*35x2,9.24E-05,0,,0,0.0006,0.0009,0,,0
*36,0.0053,,0,0.0122,0.0002,0.002,0,0,
*36x2,9.43E-05,,,0.0045,0,0.0005,,,
*37,,,,0,,,0,,
*38,,,,0,0,,0,,
*39,0.0268,,0.002,0.0059,0.0163,0.008,0.0268,0.0063,0
*40,0.0048,,0,0,0.0011,,0,0,0.0131
*41,0.0372,0.0233,0.123,0.0227,0.0924,0.051,0.1536,0.0075,0.1147
*41x2,0.0006,0,0.0009,0.0003,0.0003,8.22E-05,0.0044,0,0.0023
*41x3,,,,,,,,,
*42,0.0047,,0.003,0,0,,0,,
*43,0.0056,,,0.0005,0,,0.003,,0.0167
*43x2,,,,,,,,,
*44,,,,0.0004,0,,0,,
*45,0.0677,,,0,,,0,,0.0418
*45x2,0.0013,,,0,0,0,,,
*46,0.0112,,,0,,,0.003,,0.0017
*47,,,,0.0004,,,0,,
*48,,,,0.0002,,,0,,
*49,,,,0.0105,,,0,,0
*50,,,,0.0004,0,,0,,0
*51,,,,0.0005,,,0,,
*52,,,,0.0018,,,0,,0.0077
*53,,,,0.0002,,0.005,0,,0
*54,,,,0.0004,0,,0,,
*55,,,,0.0002,,,0,,
*56,0.0019,,0,0,0.0014,,0,,
*57,,,,0,,,0,,
*58,0.0012,,,0,0,,0,,0
*59,,,,0,0.0065,,0,,
*60,,,,0.0014,,,0,,
*61,,,,0,,,,,
*62,,,,,,,,,
*63,,,,0.0003,,,,,
*64,,,,0,,,0,,0
*65,,,,0.0295,,,0,,0
*68,,,,,,,,,
*69,,,,0.0117,,,0,,
*70,,,,0,0,,0,,0
*71,,,,0.0012,,,0,0.009,0
*72,,,,,,,,,
*73,,,,0,,,0,,0.0048
*74,,,,0,,,0,,0.0048
*75,,,,0.0003,,,,,
*81,,,,,,,,,
*82,,0.025,0.005,0,,0.021,0,,
*83,,,,,,,,,
*84,,,,0,,,,,
*85,,,,0,,,,,
*86,,,0.014,0.0002,,,,,
*87,,,,,,,,,
*88,,,,,,,,,
*89,,,,,,,,,
*90,,,,,,,,,
*91,,,,,,,,,
*92,,,,,,,,,
*93,,,,,,,,,
*94,,,,,,,,,
*95,,,,,,,,,
*96,,,,,,,,,
*97,,,,,,,,,
*98,,,,,,,,,
*99,,,,,,,,,
*100,0,,0.003,,,,,,
*101,0,,0.003,,,,,,
*102,,,,0,,,0.0033,,
*103,,,,0,,,0.0033,,
*104,,,,0,,,0.0033,,
*105,,,,0,,,0.006,,
*106,,,,,,,,,
*107,,,,,,,,,
*108,,,,,,,,,
*109,,,,,,,,,
*110,,,,,,,,,
*111,,,,,,,,,
*112,,,,,,,,,
*113,,,,,,,,,
*114,,,,0.0008,,,,,
*115,,,,,,,,,
*116,,,,,,,,,
*117,,,,,,,,,
*118,,,,,,,,,
*119,,,,,,,,,
*120,,,,,,,,,
*121,,,,,,,,,
*122,,,,,,,,,
*123,,,,,,,,,
*124,,,,,,,,,
*125,,,,,,,,,
*126,,,,,,,,,
*127,,,,,,,,,
*128,,,,,,,,,
*129,,,,,,,,,
*130,,,,,,,,,
*131,,,,,,,,,
*132,,,,,,,,,
*133,,,,,,,,,
*134,,,,,,,,,
*135,,,,,,,,,
*136,,,,,,,,,
*137,,,,,,,,,
*138,,,,,,,,,
*139,,,,,,,,,
*10+*36,,0.0014,0.0123,0.3413,0,,,,0.0008
*4+*68,,0.0245,0.0215,0,0.0557,,,,0.0023
